sumber,model,split,horizon,rmse,mae,mape_pct,da_pct
Yahoo Finance,LSTM MIMO Standar,TEST,t+1,4.233975,3.306713,1.791493,53.33
Yahoo Finance,LSTM MIMO Standar,TEST,t+2,5.918339,4.507595,2.44273,52.56
Yahoo Finance,LSTM MIMO Standar,TEST,t+3,7.29733,5.616106,3.041172,53.33
Yahoo Finance,LSTM MIMO Standar,TEST,t+4,8.477513,6.638016,3.578808,49.63
Yahoo Finance,LSTM MIMO Standar,TEST,t+5,9.087041,7.296088,3.918494,51.11
Yahoo Finance,LSTM MIMO Standar,TEST,average,7.220067,5.472904,2.95454,52
Yahoo Finance,LSTM MIMO + HHO,TEST,t+1,4.157485,3.251938,1.76166,53.33
Yahoo Finance,LSTM MIMO + HHO,TEST,t+2,5.797408,4.4504,2.412487,52.56
Yahoo Finance,LSTM MIMO + HHO,TEST,t+3,7.102168,5.450517,2.952211,53.33
Yahoo Finance,LSTM MIMO + HHO,TEST,t+4,8.220059,6.394025,3.448795,49.63
Yahoo Finance,LSTM MIMO + HHO,TEST,t+5,8.881985,7.189359,3.86375,51.11
Yahoo Finance,LSTM MIMO + HHO,TEST,average,7.039807,5.347248,2.887781,52
Nasdaq,LSTM MIMO Standar,TEST,t+1,4.234164,3.30677,1.791407,53.33
Nasdaq,LSTM MIMO Standar,TEST,t+2,5.918586,4.507663,2.442614,52.56
Nasdaq,LSTM MIMO Standar,TEST,t+3,7.297528,5.616267,3.041074,53.33
Nasdaq,LSTM MIMO Standar,TEST,t+4,8.477739,6.637885,3.578516,49.63
Nasdaq,LSTM MIMO Standar,TEST,t+5,9.087282,7.295873,3.918132,51.11
Nasdaq,LSTM MIMO Standar,TEST,average,7.220283,5.472892,2.954349,52
Nasdaq,LSTM MIMO + HHO,TEST,t+1,4.194522,3.284878,1.778715,53.33
Nasdaq,LSTM MIMO + HHO,TEST,t+2,5.846783,4.464617,2.418588,52.56
Nasdaq,LSTM MIMO + HHO,TEST,t+3,7.136236,5.481461,2.966929,53.33
Nasdaq,LSTM MIMO + HHO,TEST,t+4,8.287696,6.487204,3.496634,49.63
Nasdaq,LSTM MIMO + HHO,TEST,t+5,8.878711,7.146876,3.839588,51.11
Nasdaq,LSTM MIMO + HHO,TEST,average,7.074209,5.373007,2.900091,52
Stooq,LSTM MIMO Standar,TEST,t+1,4.233451,3.308347,1.791442,52.60
Stooq,LSTM MIMO Standar,TEST,t+2,5.929343,4.508484,2.442873,52.60
Stooq,LSTM MIMO Standar,TEST,t+3,7.400621,5.710812,3.085638,54.07
Stooq,LSTM MIMO Standar,TEST,t+4,8.522162,6.699268,3.607387,49.63
Stooq,LSTM MIMO Standar,TEST,t+5,9.08847,7.290117,3.912181,51.85
Stooq,LSTM MIMO Standar,TEST,average,7.253633,5.503406,2.967904,52.15
Stooq,LSTM MIMO + HHO,TEST,t+1,4.220693,3.306378,1.790134,52.60
Stooq,LSTM MIMO + HHO,TEST,t+2,5.964315,4.525093,2.453495,52.60
Stooq,LSTM MIMO + HHO,TEST,t+3,7.413475,5.706066,3.085022,54.07
Stooq,LSTM MIMO + HHO,TEST,t+4,8.56299,6.74959,3.638356,49.63
Stooq,LSTM MIMO + HHO,TEST,t+5,9.213579,7.461146,4.012381,51.85
Stooq,LSTM MIMO + HHO,TEST,average,7.301531,5.549655,2.995878,52.15
